BEGIN RESULTS HEADER:
endoplasmic reticulum membrane2.25626116862chloroplast3.52314576125peroxisome membrane0.0361310710326golgi apparatus0.346492772969nucleus membrane0.0405433383051secreted1.50349490728plastid0.0415381631777cytoplasm64.326014677vacuole membrane0.524482369472endoplasmic reticulum0.45443828568vacuole0.198104525059chloroplast membrane0.147926460112nucleus12.7554010108plasma membrane2.9211634772peroxisome1.35942264705mitochondrion7.48474526279golgi apparatus membrane0.498099866155mitochondrion membrane1.57117470072P34232,90.1813166895,32|MTR2_YEAST mRNA transport regulator MTR2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MTR2 PE=1 SV=1,187,nucleus,1.0,False,450.906583448,112.426041473,0.00541145431141
P53071,0.595905570391,71|YGY5_YEAST Uncharacterized protein YGL235W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YGL235W PE=4 SV=1,180,secreted,0.41,False,2.97952785196,0.715086684469,3.44195959495e-05
P47061,21.8332011588,61|VPS53_YEAST Vacuolar protein sorting-associated protein 53 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VPS53 PE=1 SV=1,835,nucleus,0.65,False,109.166005794,121.538153118,0.00585005176801
P21147,174.312390083,47|ACO1_YEAST Acyl-CoA desaturase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=OLE1 PE=1 SV=2,518,endoplasmic reticulum membrane,0.26,False,871.561950417,601.958787088,0.0289743588852
Q12417,21.9220605745,17|PRP46_YEAST Pre-mRNA-splicing factor PRP46 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRP46 PE=1 SV=1,458,nucleus,0.35,False,109.610302873,66.9353582876,0.00322183035572
P53070,3.13069843467,70|MTO1_YEAST Mitochondrial translation optimization protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MTO1 PE=1 SV=2,680,mitochondrion,1.0,False,15.6534921733,14.1924995705,0.000683134102956
P17709,368.522853315,09|HXKG_YEAST Glucokinase-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GLK1 PE=1 SV=1,508,cytoplasm,0.66,False,1842.61426658,1248.06406323,0.0600736410122
P47064,54.9915600985,64|AP3S_YEAST AP-3 complex subunit sigma OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=APS3 PE=1 SV=1,197,nucleus,0.29,False,274.957800492,72.2222489293,0.00347630669219
Q12205,1.00856496307,05|MNL2_YEAST Putative endoplasmic reticulum mannosidase MNL2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MNL2 PE=1 SV=1,863,endoplasmic reticulum membrane,1.0,False,5.04282481537,5.80261042089,0.000279299713555
P39990,1229.34620331,90|SNU13_YEAST 13 kDa ribonucleoprotein-associated protein OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SNU13 PE=1 SV=1,128,nucleus,1.0,False,6146.73101653,1049.04209349,0.0504940250967
P53958,3.34417129895,58|BOP3_YEAST Protein BOP3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BOP3 PE=1 SV=1,402,nucleus,0.67,False,16.7208564948,8.9623790812,0.000431390310324
P39992,0.911451388235,92|YEC3_YEAST Uncharacterized protein YEL023C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YEL023C PE=4 SV=1,693,cytoplasm,0.36,False,4.55725694118,4.21090541365,0.00020268544509
P39993,53.7306124084,93|GEA2_YEAST ARF guanine-nucleotide exchange factor 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GEA2 PE=1 SV=1,1483,cytoplasm,0.23,False,268.653062042,531.216654678,0.0255692953215
P39994,3.58174703601,94|YEC0_YEAST Putative 2-hydroxyacyl-CoA lyase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YEL020C PE=1 SV=1,569,cytoplasm,1.0,False,17.9087351801,13.5867604233,0.00065397778226
P39995,3.19458723567,95|EAF5_YEAST Chromatin modification-related protein EAF5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=EAF5 PE=1 SV=1,283,nucleus,1.0,False,15.9729361783,6.02712125129,0.000290106196513
P39996,11.6702850985,96|GTT3_YEAST Glutathione transferase 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GTT3 PE=1 SV=1,342,nucleus membrane,1.0,False,58.3514254927,26.6082500247,0.00128074712432
P39997,6.07291646306,97|NPP2_YEAST Ectonucleotide pyrophosphatase/phosphodiesterase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NPP2 PE=1 SV=1,501,secreted,0.16,False,30.3645823153,20.2835409866,0.000976316998133
P39998,34.8754093024,98|EDC3_YEAST Enhancer of mRNA-decapping protein 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=EDC3 PE=1 SV=1,560,cytoplasm,1.0,False,174.377046512,130.201528062,0.00626704997486
Q00578,21.9422282554,78|RAD25_YEAST DNA repair helicase RAD25 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SSL2 PE=1 SV=1,857,nucleus,1.0,False,109.711141277,125.363264099,0.00603416759244
P38971,1.1675197465,71|ALP1_YEAST Basic amino-acid permease OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ALP1 PE=1 SV=2,582,plasma membrane,0.19,False,5.83759873251,4.52997661642,0.000218043445899
P18851,21.6905566655,51|GBB_YEAST Guanine nucleotide-binding protein subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=STE4 PE=1 SV=2,430,cytoplasm,0.25,False,108.452783328,62.1795957745,0.00299291905352
P18852,46.5480066359,52|GBG_YEAST Guanine nucleotide-binding protein subunit gamma OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=STE18 PE=1 SV=1,111,nucleus,0.23,False,232.74003318,34.4455249106,0.00165798227745
P18634,2.96516008461,34|ART10_YEAST Arrestin-related trafficking adapter 10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ART10 PE=1 SV=3,526,cytoplasm,1.0,False,14.8258004231,10.39782803,0.000500483434134
P38849,0.441509847543,49|MTC6_YEAST Maintenance of telomere capping protein 6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MTC6 PE=3 SV=1,534,plasma membrane,0.63,False,2.20754923772,1.57177505725,7.56549710255e-05
P07246,535.604291464,46|ADH3_YEAST Alcohol dehydrogenase 3, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADH3 PE=1 SV=2,381,mitochondrion,1.0,False,2678.02145732,1360.43490032,0.0654824381458
Q01159,25.9229837661,59|MCE1_YEAST mRNA-capping enzyme subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CEG1 PE=1 SV=2,466,nucleus,1.0,False,129.614918831,80.5340695668,0.00387638337402
P25808,20.8120038353,08|SPB4_YEAST ATP-dependent rRNA helicase SPB4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SPB4 PE=1 SV=1,616,nucleus,1.0,False,104.060019177,85.4679624171,0.00411386870559
P23179,1.08345167811,79|SPO11_YEAST Meiosis-specific protein SPO11 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SPO11 PE=1 SV=1,404,nucleus,1.0,False,5.41725839054,2.91809651971,0.000140458080582
Q04477,44.0465099021,77|SPC24_YEAST Kinetochore protein SPC24 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SPC24 PE=1 SV=1,216,nucleus,1.0,False,220.232549511,63.4269742591,0.00305295969526
P39012,25.9448599369,12|GAA1_YEAST GPI transamidase component GAA1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GAA1 PE=1 SV=1,624,endoplasmic reticulum membrane,1.0,False,129.724299684,107.930617337,0.00519507399596
Q04471,2.29773923492,71|YM04_YEAST Putative peptidase YMR114C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YMR114C PE=1 SV=1,374,nucleus,0.65,False,11.4886961746,5.72902982574,0.000275758024961
Q04472,10.8399177744,72|MGR3_YEAST Mitochondrial inner membrane i-AAA protease supercomplex subunit MGR3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MGR3 PE=1 SV=1,509,cytoplasm,0.43,False,54.1995888719,36.7834543144,0.00177051490767
Q05021,4.85749741725,21|TAF7_YEAST Transcription initiation factor TFIID subunit 7 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TAF7 PE=1 SV=1,599,nucleus,1.0,False,24.2874870862,19.3976063529,0.00093367389934
P17260,153.082110203,60|KRE1_YEAST Protein KRE1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KRE1 PE=1 SV=1,318,cytoplasm,0.09,False,765.410551014,324.53407363,0.015620947682
Q04434,0.810656340295,34|YD535_YEAST Putative uncharacterized protein YDR535C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YDR535C PE=5 SV=1,168,secreted,0.47,False,4.05328170148,0.907935101131,4.37020573981e-05
P39008,48.1310896248,08|POP2_YEAST Poly(A) ribonuclease POP2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=POP2 PE=1 SV=2,440,nucleus,0.84,False,240.655448124,141.184529566,0.00679569983267
Q04279,33.834993723,79|YMX6_YEAST Uncharacterized protein YMR086W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YMR086W PE=1 SV=1,975,cytoplasm,1.0,False,169.174968615,219.927459199,0.0105858694453
Q00711,51.5642061804,11|DHSA_YEAST Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SDH1 PE=1 SV=1,650,chloroplast,0.22,False,257.821030902,223.444893448,0.0107551757242
P35731,20.3616367323,31|FABG_YEAST 3-oxoacyl-[acyl-carrier-protein] reductase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=OAR1 PE=1 SV=1,282,mitochondrion,1.0,False,101.808183662,38.2798770567,0.0018425429111
P35732,753.334406712,32|DEF1_YEAST RNA polymerase II degradation factor 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DEF1 PE=1 SV=1,750,nucleus,1.0,False,3766.67203356,3766.67203356,0.181302955691
P39009,8.69694007383,09|DUN1_YEAST DNA damage response protein kinase DUN1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DUN1 PE=1 SV=1,521,nucleus,1.0,False,43.4847003692,30.2073718565,0.00145398530916
Q04272,12.3061105999,72|VPS20_YEAST Vacuolar protein sorting-associated protein 20 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VPS20 PE=1 SV=3,224,nucleus,0.5,False,61.5305529995,18.3771251625,0.000884554609316
P35735,71.7319234195,35|SFK1_YEAST Protein SFK1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SFK1 PE=1 SV=1,358,plasma membrane,1.0,False,358.659617098,171.200190561,0.00824045743486
P53249,1.76761199482,49|YG2G_YEAST Putative uncharacterized protein YGR079W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YGR079W PE=4 SV=1,376,nucleus,0.84,False,8.83805997408,4.43081406701,0.000213270409345
Q3E785,2.56789232442,85|SDHF1_YEAST Succinate dehydrogenase assembly factor 1 homolog, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YDR379C-A PE=1 SV=1,80,mitochondrion,1.0,False,12.8394616221,1.36954257302,6.59208219407e-05
P47115,18.7326063365,15|YJ26_YEAST Uncharacterized protein YJR056C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YJR056C PE=1 SV=1,239,nucleus,0.82,False,93.6630316827,29.8472860962,0.00143665313581
P47114,1.28609262808,14|YJ24_YEAST Uncharacterized vacuolar membrane protein YJR054W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YJR054W PE=1 SV=1,505,vacuole membrane,1.0,False,6.4304631404,4.3298451812,0.000208410427572
P46985,45.2085517778,85|MNN11_YEAST Probable alpha-1,6-mannosyltransferase MNN11 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MNN11 PE=1 SV=2,429,golgi apparatus membrane,1.0,False,226.042758889,129.296458084,0.00622348582574
Q03973,250.563173156,73|HMO1_YEAST High mobility group protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HMO1 PE=1 SV=1,250,nucleus,1.0,False,1252.81586578,417.605288593,0.0201007872359
P47111,23.8121975055,11|VPS55_YEAST Vacuolar protein sorting-associated protein 55 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VPS55 PE=1 SV=1,142,endoplasmic reticulum membrane,0.15,False,119.060987527,22.5422136385,0.00108503472669
P47110,3.94039943968,10|DPOD3_YEAST DNA polymerase delta subunit 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=POL32 PE=1 SV=1,355,nucleus,0.11,False,19.7019971984,9.32561200724,0.00044887396765
Q03976,43.5230862005,76|RT24_YEAST 37S ribosomal protein S24, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RSM24 PE=1 SV=1,324,mitochondrion,1.0,False,217.615431003,94.0098661931,0.00452502008486
P47112,3.10011209392,12|CDT1_YEAST Cell division cycle protein CDT1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=TAH11 PE=1 SV=1,614,nucleus,0.83,False,15.5005604696,12.6897921711,0.000610803597242
P28795,15.7284601466,95|PEX3_YEAST Peroxisomal biogenesis factor 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PEX3 PE=1 SV=1,448,peroxisome membrane,1.0,False,78.6423007329,46.9756676378,0.00226110139465
P53981,499.884001354,81|YNB0_YEAST Uncharacterized phosphatase YNL010W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YNL010W PE=1 SV=1,245,cytoplasm,0.59,False,2499.42000677,816.477202212,0.0392998723267
P53980,4.46838662634,80|YNB1_YEAST Uncharacterized protein YNL011C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YNL011C PE=1 SV=1,451,cytoplasm,0.55,False,22.3419331317,13.4349491232,0.000646670579199
P47119,123.906587148,19|ITPA_YEAST Inosine triphosphate pyrophosphatase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=HAM1 PE=1 SV=1,200,cytoplasm,0.32,False,619.532935741,165.208782864,0.00795207025526
P28791,13.0051690251,91|SEC20_YEAST Protein transport protein SEC20 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SEC20 PE=1 SV=1,389,endoplasmic reticulum membrane,1.0,False,65.0258451256,33.7267383385,0.00162338459311
P53238,1.48800324344,38|PEF1_YEAST Peflin OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PEF1 PE=1 SV=2,340,vacuole,0.09,False,7.44001621719,3.37280735179,0.000162344885992
P40309,0.359673915401,09|KHA1_YEAST K(+)/H(+) antiporter 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=KHA1 PE=1 SV=1,887,plasma membrane,0.07,False,1.798369577,2.12687175307,0.000102373695339
P28004,9.53406177648,04|PRP45_YEAST Pre-mRNA-processing protein 45 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PRP45 PE=1 SV=2,385,nucleus,1.0,False,47.6703088824,24.4707585596,0.0011778622655
P28005,65.7476788596,05|POP5_YEAST Ribonucleases P/MRP protein subunit POP5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=POP5 PE=1 SV=1,175,nucleus,0.13,False,328.738394298,76.7056253362,0.00369210710879
P28006,1.02632122755,06|GAC1_YEAST Serine/threonine-protein phosphatase 1 regulatory subunit GAC1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GAC1 PE=1 SV=2,806,nucleus,0.78,False,5.13160613774,5.51476606269,0.000265444768804
P28007,1333.64769043,07|GAR1_YEAST H/ACA ribonucleoprotein complex subunit 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=GAR1 PE=1 SV=1,208,nucleus,1.0,False,6668.23845216,1849.3247974,0.0890144001957
P28000,455.545970397,00|RPAC2_YEAST DNA-directed RNA polymerases I and III subunit RPAC2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPC19 PE=1 SV=1,144,nucleus,1.0,False,2277.72985198,437.324131581,0.0210499233658
P29539,1.42920852717,39|RIF1_YEAST Telomere length regulator protein RIF1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RIF1 PE=1 SV=3,1947,nucleus,1.0,False,7.14604263583,18.5511266826,0.000892929904433
P28003,1.58135503104,03|FUN19_YEAST SWIRM domain-containing protein FUN19 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FUN19 PE=1 SV=3,419,nucleus,0.43,False,7.90677515519,4.41725172004,0.000212617606667
P53965,11.1419474043,65|SIW14_YEAST Tyrosine-protein phosphatase SIW14 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SIW14 PE=1 SV=1,285,cytoplasm,1.0,False,55.7097370216,21.1697000682,0.00101897090038
P28777,334.837962878,77|AROC_YEAST Chorismate synthase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARO2 PE=1 SV=1,382,chloroplast,0.44,False,1674.18981439,852.720678797,0.0410443962382
P53743,42.9859250395,43|ESF2_YEAST Pre-rRNA-processing protein ESF2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ESF2 PE=1 SV=1,321,nucleus,1.0,False,214.929625197,91.9898795845,0.00442779114129
P53742,267.849701309,42|NOG2_YEAST Nucleolar GTP-binding protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=NOG2 PE=1 SV=1,494,nucleus,1.0,False,1339.24850655,882.118349645,0.0424594078367
Q05015,39.3625833544,15|FSH2_YEAST Family of serine hydrolases 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=FSH2 PE=1 SV=1,226,cytoplasm,1.0,False,196.812916772,59.3062922539,0.00285461701494
P53960,15.6111605295,60|YNE0_YEAST Putative alanyl-tRNA editing protein alaX OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YNL040W PE=1 SV=1,463,mitochondrion,0.13,False,78.0558026477,48.1864488345,0.00231938048232
P53330,84.0897198679,30|RT102_YEAST Regulator of Ty1 transposition protein 102 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RTT102 PE=1 SV=2,159,nucleus,1.0,False,420.448599339,89.13510306,0.00429038087113
Q06147,1.56888725456,47|LCB5_YEAST Sphingoid long chain base kinase 5 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LCB5 PE=1 SV=1,698,mitochondrion,0.15,False,7.84443627281,7.30055535789,0.00035140098548
P53952,1.06092194905,52|YNF0_YEAST Uncharacterized protein YNL050C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YNL050C PE=4 SV=1,274,nucleus,0.94,False,5.30460974527,1.93795076027,9.32802743882e-05
P53748,1.64606945302,48|YN91_YEAST Uncharacterized membrane protein YNR062C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YNR062C PE=1 SV=1,332,endoplasmic reticulum membrane,0.19,False,8.23034726508,3.64330038934,0.000175364651653
Q12431,39.500003262,31|EMC6_YEAST ER membrane protein complex subunit 6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=EMC6 PE=1 SV=1,109,endoplasmic reticulum membrane,0.95,False,197.50001631,28.7033357037,0.00138159084595
P08067,78.4960275785,67|UCRI_YEAST Cytochrome b-c1 complex subunit Rieske, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RIP1 PE=1 SV=1,218,mitochondrion membrane,1.0,False,392.480137893,114.080893414,0.00549110806026
P53969,6.66482171528,69|SAM50_YEAST Sorting assembly machinery 50 kDa subunit OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SAM50 PE=1 SV=1,492,mitochondrion,0.23,False,33.3241085764,21.8606152261,0.00105222703713
P47085,1.09413721854,85|YJX8_YEAST MEMO1 family protein YJR008W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YJR008W PE=1 SV=1,343,cytoplasm,0.51,False,5.47068609269,2.50192710639,0.00012042640699
P28778,7.32807652186,78|RT06_YEAST 37S ribosomal protein MRP17, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MRP17 PE=1 SV=1,133,mitochondrion,1.0,False,36.6403826093,6.49756118272,0.000312750097888
P27796,76.1766908387,96|THIK_YEAST 3-ketoacyl-CoA thiolase, peroxisomal OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=POT1 PE=1 SV=1,423,peroxisome,1.0,False,380.883454194,214.818268165,0.0103399464057
P53183,22.1671263321,83|YGD9_YEAST Putative uncharacterized oxidoreductase YGL039W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YGL039W PE=1 SV=1,353,cytoplasm,0.36,False,110.83563166,52.1666373015,0.00251096072261
P43122,1.31934986104,22|QRI7_YEAST tRNA N6-adenosine threonylcarbamoyltransferase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=QRI7 PE=1 SV=1,413,mitochondrion,1.0,False,6.59674930518,3.63260995072,0.000174850083859
P47084,24.3594969799,84|YJX3_YEAST Uncharacterized protein YJR003C, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YJR003C PE=1 SV=2,527,nucleus,0.69,False,121.797484899,85.5830327226,0.00411940743748
P32559,0.53595322048,59|MSS1_YEAST tRNA modification GTPase MSS1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MSS1 PE=1 SV=2,534,mitochondrion,1.0,False,2.6797661024,1.90799346491,9.18383261258e-05
P32558,216.075435643,58|SPT16_YEAST FACT complex subunit SPT16 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SPT16 PE=1 SV=1,1052,nucleus,1.0,False,1080.37717822,1515.40905531,0.0729418803551
P53185,0.630433745223,85|YG036_YEAST Uncharacterized protein YGL036W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YGL036W PE=1 SV=1,924,cytoplasm,1.0,False,3.15216872612,3.88347187058,0.000186924935913
P53184,331.73263857,84|PNC1_YEAST Nicotinamidase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PNC1 PE=1 SV=1,219,cytoplasm,0.21,False,1658.66319285,484.329652312,0.0233124616931
Q01532,72.5123609121,32|BLH1_YEAST Cysteine proteinase 1, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=LAP3 PE=1 SV=3,491,cytoplasm,0.28,False,362.561804561,237.357128052,0.0114248197047
P47083,18.0003076767,83|MPP10_YEAST U3 small nucleolar RNA-associated protein MPP10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MPP10 PE=1 SV=1,602,nucleus,1.0,False,90.0015383835,72.2412348091,0.00347722054826
P53189,31.6005164477,89|SCW11_YEAST Probable family 17 glucosidase SCW11 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SCW11 PE=1 SV=1,551,secreted,1.0,False,158.002582238,116.079230418,0.00558729493345
P53188,110.408680287,88|CGR1_YEAST rRNA-processing protein CGR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CGR1 PE=1 SV=1,121,nucleus,1.0,False,552.043401435,89.0630020981,0.0042869104024
Q04003,1.44519342872,03|SAS4_YEAST Something about silencing protein 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SAS4 PE=1 SV=1,489,nucleus,1.0,False,7.22596714358,4.71133057762,0.000226772639441
P47082,2.26570253894,82|AVT1_YEAST Vacuolar amino acid transporter 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=AVT1 PE=1 SV=1,612,vacuole membrane,1.0,False,11.3285126947,9.24406635888,0.000444948893489
P20795,15.564649739,95|VPS33_YEAST Vacuolar protein sorting-associated protein 33 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VPS33 PE=1 SV=1,702,vacuole,1.0,False,77.8232486948,72.8425607783,0.00350616444743
P32563,509.443074279,63|VPH1_YEAST V-type proton ATPase subunit a, vacuolar isoform OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=VPH1 PE=1 SV=3,853,vacuole membrane,1.0,False,2547.2153714,2897.03294907,0.139444218058
P21560,68.2627017674,60|CBP3_YEAST Protein CBP3, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CBP3 PE=1 SV=1,340,mitochondrion,0.66,False,341.313508837,154.728790673,0.0074476319758
P38083,0.337060776957,83|YBR3_YEAST Uncharacterized protein YBR063C OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YBR063C PE=4 SV=1,410,cytoplasm,0.07,False,1.68530388478,0.921299457015,4.43453300806e-05
Q07872,32.5765166066,72|ENT4_YEAST Epsin-4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ENT4 PE=1 SV=1,251,cytoplasm,0.16,False,162.882583033,54.5113711216,0.00262382087293
Q08110,1.7858314536,10|YO014_YEAST Putative uncharacterized protein YOL014W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YOL014W PE=4 SV=1,126,secreted,0.43,False,8.92915726802,1.50009842103,7.22049265602e-05
P32564,3.06472323434,64|SCM4_YEAST Protein SCM4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SCM4 PE=1 SV=1,190,endoplasmic reticulum membrane,0.32,False,15.3236161717,3.8819827635,0.000186853260038
Q03175,0.948199895637,75|SRT1_YEAST Dehydrodolichyl diphosphate synthase SRT1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SRT1 PE=1 SV=1,348,endoplasmic reticulum membrane,0.21,False,4.74099947819,2.19982375788,0.000105885127707
Q3E781,1.26097510035,81|YB221_YEAST Uncharacterized protein YBR221W-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=YBR221W-A PE=1 SV=1,34,secreted,0.23,False,6.30487550174,0.285821022746,1.3757554616e-05
Q07879,0.604289409842,79|ATG10_YEAST Ubiquitin-like-conjugating enzyme ATG10 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ATG10 PE=1 SV=1,169,nucleus,0.21,False,3.02144704921,0.680832735089,3.27708348651e-05
P32565,208.799771221,65|RPN2_YEAST 26S proteasome regulatory subunit RPN2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPN2 PE=1 SV=4,960,cytoplasm,0.01,False,1043.99885611,1336.31853582,0.0643216340923
P43568,0.345787511526,68|CAK1_YEAST Serine/threonine-protein kinase CAK1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CAK1 PE=1 SV=1,374,cytoplasm,0.1,False,1.72893755763,0.862163528737,4.14989132731e-05
P43569,46.1574509226,69|CAF16_YEAST CCR4-associated factor 16 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CAF16 PE=1 SV=1,293,cytoplasm,0.32,False,230.787254613,90.1608874689,0.00433975542341
